Date,Type,P1,P2,Odds
2025-11-29,🛡️ 穩健二串一,IND,GSW,2.24
2025-11-28,🛡️ 穩健二串一,UTA,LAL,1.82
2025-11-26,🛡️ 穩健二串一,BOS,TOR,2.21
2025-11-24,🛡️ 穩健二串一,TOR,NOP,3.95
2025-11-23,🛡️ 穩健二串一,UTA,CLE,4.06
2025-11-22,🛡️ 穩健二串一,CHO,DAL,3.06
2025-11-21,🛡️ 穩健二串一,DAL,PHO,3.18
2025-11-20,🛡️ 穩健二串一,MIL,ORL,2.53
2025-11-19,🛡️ 穩健二串一,IND,POR,3.87
2025-11-18,🛡️ 穩健二串一,ATL,ORL,3.49
2025-11-17,🛡️ 穩健二串一,DET,DEN,1.18
2025-11-16,🛡️ 穩健二串一,DAL,PHO,3.3
2025-11-15,🛡️ 穩健二串一,MIN,CLE,2.09
2025-11-14,🛡️ 穩健二串一,DET,ORL,1.78
2025-11-12,🛡️ 穩健二串一,NYK,DET,2.74
2025-11-11,🛡️ 穩健二串一,PHI,UTA,3.28
2025-11-10,🛡️ 穩健二串一,CHI,CHO,6.34
2025-11-09,🛡️ 穩健二串一,PHI,MIL,4.62
2025-11-08,🛡️ 穩健二串一,MIA,DEN,2.3
2025-11-05,🛡️ 穩健二串一,MEM,DAL,3.48
2025-11-03,🛡️ 穩健二串一,MEM,IND,5.16
2025-11-01,🛡️ 穩健二串一,CHO,IND,7.31
2025-10-31,🛡️ 穩健二串一,CHI,IND,4.09
2025-10-29,🛡️ 穩健二串一,DET,BOS,3.5
2025-10-27,🛡️ 穩健二串一,PHI,CHI,4.63
2025-10-26,🛡️ 穩健二串一,DET,MIA,2.99
2025-10-24,🛡️ 穩健二串一,BRK,ORL,5.32
2025-10-22,🛡️ 穩健二串一,NYK,CHI,3.57
