date,Team_Abbr,Opp_Abbr,Is_Home,Prob,Odds_Team,EV,Signal,Win
2025-11-30,CLE,BOS,True,0.68,1.26,-0.14319999999999988,PASS,0
2025-11-30,MIN,SAS,True,0.7,1.45,0.014999999999999902,PASS,1
2025-11-30,NYK,TOR,True,0.6,1.22,-0.268,PASS,1
2025-11-30,PHI,ATL,True,0.44,1.62,-0.2871999999999999,PASS,0
2025-11-30,SAC,MEM,True,0.25,1.93,-0.5175000000000001,PASS,0
2025-11-30,UTA,HOU,True,0.26,3.5,-0.08999999999999997,PASS,0
2025-11-29,CHO,TOR,True,0.21,2.85,-0.40149999999999997,PASS,1
2025-11-29,GSW,NOP,True,0.92,1.18,0.0855999999999999,PASS (Odds Too Low),1
2025-11-29,IND,CHI,True,0.61,1.9,0.15900000000000003,💎 BET HOME (ROI King) EV=0.16,1
2025-11-29,LAC,DAL,True,0.66,1.18,-0.22119999999999995,PASS,0
2025-11-29,MIA,DET,True,0.6,1.42,-0.14800000000000002,PASS,0
2025-11-29,MIL,BRK,True,0.55,1.1,-0.3949999999999999,PASS,1
2025-11-29,MIN,BOS,True,0.59,1.32,-0.22119999999999995,PASS,1
2025-11-29,PHO,DEN,True,0.36,2.05,-0.2620000000000001,PASS,0
2025-11-28,ATL,CLE,True,0.41,2.5,0.02499999999999991,PASS,1
2025-11-28,BRK,PHI,True,0.32,2.55,-0.18400000000000005,PASS,0
2025-11-28,CHO,CHI,True,0.47,1.96,-0.07880000000000009,PASS,1
2025-11-28,DEN,SAS,True,0.84,1.25,0.050000000000000044,PASS (Odds Too Low),0
2025-11-28,DET,ORL,True,0.51,1.38,-0.2962,PASS,0
2025-11-28,IND,WAS,True,0.55,1.26,-0.30699999999999994,PASS,1
2025-11-28,LAC,MEM,True,0.5,1.3,-0.35,PASS,0
2025-11-28,LAL,DAL,True,0.93,1.15,0.0694999999999999,PASS (Odds Too Low),1
2025-11-28,NYK,MIL,True,0.9,1.23,0.10699999999999998,PASS (Odds Too Low),1
2025-11-28,OKC,PHO,True,0.79,1.05,-0.17049999999999987,PASS,1
2025-11-28,UTA,SAC,True,0.68,1.58,0.07440000000000002,💎 BET HOME (ROI King) EV=0.07,1
2025-11-26,BOS,DET,True,0.56,1.96,0.09760000000000013,🟡 BET HOME (Value) EV=0.10,1
2025-11-26,CHO,NYK,True,0.31,2.85,-0.11649999999999994,PASS,0
2025-11-26,GSW,HOU,True,0.39,1.53,-0.4033,PASS,0
2025-11-26,MIA,MIL,True,0.73,1.22,-0.10940000000000005,PASS,1
2025-11-26,NOP,MEM,True,0.39,1.96,-0.23560000000000003,PASS,0
2025-11-26,OKC,MIN,True,0.76,1.16,-0.11840000000000006,PASS,1
2025-11-26,POR,SAS,True,0.45,1.7,-0.235,PASS,0
2025-11-26,SAC,PHO,True,0.49,2.15,0.05349999999999988,PASS,0
2025-11-26,TOR,IND,True,0.96,1.13,0.08479999999999976,PASS (Odds Too Low),1
2025-11-25,LAL,LAC,True,0.9,1.22,0.09800000000000009,PASS (Odds Too Low),1
2025-11-25,PHI,ORL,True,0.43,2.25,-0.03249999999999997,PASS,0
2025-11-25,WAS,ATL,True,0.32,3.4,0.08800000000000008,PASS,1
2025-11-24,BRK,NYK,True,0.2,4.1,-0.18000000000000005,PASS,0
2025-11-24,GSW,UTA,True,0.77,1.06,-0.18379999999999996,PASS,1
2025-11-24,IND,DET,True,0.21,3.4,-0.28600000000000003,PASS,0
2025-11-24,MEM,DEN,True,0.17,2.85,-0.5155,PASS,0
2025-11-24,MIA,DAL,True,0.76,1.2,-0.08800000000000008,PASS,1
2025-11-24,MIL,POR,True,0.52,1.7,-0.11599999999999999,PASS,0
